method,size50,size75,size100,size125,size150,size175,size200,size225,size250,size275,size300
robbins,0.0754400760332751,0.31164138014729614,0.21258051366979033,0.056454027745627314,0.11181792724811046,0.1749306901435112,0.15562748373106466,0.1371693973705853,0.13224693565988882,0.06116393289721561,0.1524554716676164
npmle,0.06383060530281438,0.14102510659779796,0.1640782498161498,0.04320317075549604,0.14125101988927768,0.15130761795478412,0.13238224330981307,0.13237317893876682,0.07440179292724153,0.017580183337235402,0.14592188647815216
sqH,0.08024871248349084,0.07723074471978468,0.09030785071307083,0.05685873202749335,0.03940252404995046,0.13748703368238366,0.1004642511100617,0.14166975447881222,0.06615071057163882,0.023943532412707382,0.1341125347004253
chisq,0.056476873419209636,0.07671341171246088,0.09876885380515557,0.03145363052785327,0.022828677804361305,0.14116965576723223,0.10950180494377637,0.1392550028691638,0.0404307106911092,0.013600350369800916,0.13463310628577937
robbins,0.11877507432051156,0.13382174497590182,0.15973736569671296,0.13394312326691807,0.2349005193354466,0.14861701743791153,0.06478288522988444,0.12490625855004013,0.24409949489509322,0.20304417053601428,0.10525491782036664
npmle,0.11783918322860407,0.12367982823689261,0.10607763718251409,0.0866699114444795,0.15828204094851817,0.1318233180655445,0.03691158316399384,0.10293491158409769,0.07348955455698414,0.08964355756564689,0.07968887084230705
sqH,0.06650292992337847,0.08075067365001504,0.12273911721262992,0.09063071801023292,0.133200641577946,0.09845689418883082,0.05445205969794735,0.104502857280644,0.08700076676363534,0.09066308205742762,0.05971819084574091
chisq,0.07210241211029816,0.08779558898180916,0.09200527699893843,0.0774215130640123,0.13632116299136393,0.1007189333861387,0.05495013597786388,0.09547538053470281,0.05373118995590766,0.0729624234754103,0.08141387079179646
robbins,0.07398536078668595,0.3183669619153979,0.27070084988086957,0.1009085741554938,0.07309933332924336,0.08654203282678076,0.08746244751425554,0.1699370678684797,0.07182263912754631,0.06334576143026006,0.06562811969458285
npmle,0.05366721431741595,0.13613586603957062,0.15558875247490025,0.17640435044603184,0.0723337877610162,0.08477617078408428,0.07387569766408486,0.12176448891138363,0.05513613314913541,0.05789885408033181,0.07555966172447671
sqH,0.06183592442912756,0.1516899235117391,0.10140148956219436,0.06247100499320849,0.0874259157005533,0.09889730360213983,0.08824026296532463,0.08763378816763882,0.05945122246022963,0.061057386432912114,0.04183341376585983
chisq,0.0633633113476691,0.11690193648365467,0.06650474869979289,0.19453786269152265,0.06493866287435825,0.07831384385387728,0.06724290637983152,0.0644245288777997,0.052882677699086375,0.05662371153207996,0.08009025317100504
robbins,0.2824719056448549,0.13394045631931978,0.1263921202846742,0.23596062346460256,0.22716855491246984,0.20358080971351594,0.09566745357419953,0.10132651669159795,0.10721975928078767,0.08258401982648242,0.1771723579385982
npmle,0.03209057726791782,0.11076253125026478,0.09342239429784906,0.10875769010089842,0.11369138626799911,0.08131218328267849,0.10209067266914927,0.09179904680757267,0.08260889953865116,0.08330041808325289,0.07841617358519849
sqH,0.024489130081954653,0.11582070102566352,0.08395347327774941,0.12910216015954945,0.13560518007814923,0.09589997372575415,0.11849272446141686,0.10245096112160787,0.09600535966071802,0.09722146652508665,0.08662582515210963
chisq,0.04717084500680019,0.1138084296526026,0.07394411392084238,0.09106621267520384,0.09782647867344532,0.06363956892418843,0.09429915135959385,0.10783213575580648,0.06358015168452749,0.07673860631395998,0.057301849599189554
robbins,0.09037208609909717,0.10827342990986594,0.1100672123981168,0.11705246289790806,0.17565281581138537,0.16190161031464312,0.03898096072267422,0.07920771395568642,0.07599881958983681,0.08838129413015357,0.09813271256805198
npmle,0.03137964785243867,0.08289885584670935,0.04176058045915232,0.1150730073525088,0.07567832090666994,0.15412932400358917,0.03261581274206072,0.08520140611074867,0.04336446491642329,0.0874206413553855,0.07430480009914037
sqH,0.040444860474445614,0.09115066622938063,0.049862993255877563,0.07030687822107343,0.07421524429544468,0.15225556581460492,0.02424777718458679,0.10088234317140739,0.051571270698173896,0.10074194774979162,0.06432034596319591
chisq,0.03018034992822494,0.09663288194137884,0.03049831336192423,0.07651911621247502,0.049442193515788574,0.15961316615339183,0.03486454342492237,0.075414818398176,0.031991836016524035,0.08993348502566559,0.03856042517562157
robbins,0.1422308093983624,0.2575297204929657,0.30599176569845504,0.14039028683302915,0.18118499999744683,0.14404742580945534,0.0998321705218666,0.13845629768753348,0.26254666323193543,0.17503428685039488,0.07493859564070283
npmle,0.12692607199104988,0.07183230012388377,0.1866121369577947,0.11343659953318072,0.05545513980160967,0.1319686699884499,0.08538297563855568,0.10135967934839632,0.1413534620851254,0.129456781752619,0.07136960323841332
sqH,0.09941675718625775,0.08691132656990899,0.07734337383802367,0.11886963651934973,0.06803376126916463,0.1052397176530452,0.1004754831629381,0.09987751980316772,0.15577461723997668,0.12871637764492144,0.07410730150323419
chisq,0.1092397643804632,0.053272034491469056,0.24110242772065596,0.12917359238797343,0.04183907481522744,0.10795319764090315,0.07782422434298925,0.0843530112838653,0.12303262635494633,0.10986464547755699,0.06941994335563177
robbins,0.07825080964052848,0.12412062581043733,0.08774712803476026,0.19641173239903792,0.120250028361662,0.1415325948358245,0.13809371850153215,0.06203331072578477,0.0772746588208602,0.11195504790724041,0.14250798496244363
npmle,0.09873309357826467,0.10966480460019219,0.06332382962287354,0.15444103189145297,0.11111937380204817,0.1335829629013257,0.12850416950674992,0.06173114348000319,0.07296815473342755,0.11051585901481609,0.0942782218261312
sqH,0.02184022753452748,0.12159995007865913,0.06593414162549421,0.13613937631904016,0.1283628556376972,0.1121820034485462,0.11835616726255399,0.07446349001264076,0.08610662458807807,0.06962539136641722,0.09561213046922391
chisq,0.08405408069086817,0.09750721719704707,0.04768817886089602,0.14880043649136848,0.10345205132046573,0.1155538745354975,0.11499331008231983,0.04700225866733909,0.06680443796656482,0.07598762097629223,0.0844577554728801
robbins,0.23714027001611623,0.09029160153951175,0.10034518685237043,0.09450146303985188,0.21570694994553685,0.09434966271140562,0.1270000524493188,0.10029259351002903,0.07561888478701152,0.12013982802151431,0.07596068261981573
npmle,0.1633365607713613,0.06403925073313334,0.10483423119822546,0.08837329536926015,0.16762953956089807,0.034350911928477244,0.08826501415023244,0.06183038665351204,0.052046194436321545,0.07973615193408316,0.06851114232224804
sqH,0.11594064132546776,0.08431583855693456,0.11702345782538082,0.1039200201661998,0.15279402009501936,0.05477373917318784,0.09120239217512481,0.07165466210047101,0.05123233807093284,0.06093059187770366,0.06778437322282642
chisq,0.1261002446857839,0.052184501885302124,0.09784929017594741,0.08035560374442213,0.16715616741434763,0.028356240283704873,0.08216622738540572,0.05029696093446744,0.04534229963025529,0.08098447871361314,0.06354614732150327
robbins,0.1789371827268515,0.10684214958616105,0.05807070948079463,0.12457846049293102,0.11625767269855046,0.20706659978877687,0.1740038673774729,0.1665590321317007,0.122685116195407,0.16951699249197338,0.16643006197179527
npmle,0.15610311523173076,0.09550271740766209,0.036991672102235994,0.09861374961238052,0.0771003698695634,0.07098451024692595,0.1463400649960815,0.12874326597209274,0.11484709282332735,0.13874708969786875,0.12287776220411281
sqH,0.13965223954529157,0.12074348893760178,0.04850308260184492,0.11174940314956688,0.07994504738262083,0.07661578800070566,0.1278937995699747,0.13169140567625878,0.09717694449810468,0.10775351986659225,0.12313035985186753
chisq,0.15538072299300554,0.08180456689776985,0.03166311414095306,0.08600064020451959,0.07065458206846446,0.05501598455564718,0.13132623068561178,0.11504307579148354,0.0999052667228288,0.10981150397503726,0.10367482404270066
robbins,0.08990449086288387,0.9308247004808751,0.11684667474975541,0.1339974150350038,0.12025002836166197,0.08842904601854372,0.07881489475922286,0.07231141120473407,0.10162625844682002,0.23241666193714577,0.1384799242464919
npmle,0.020836207507527873,0.16890083440367432,0.08985507095236649,0.11020443869036371,0.11112045823473676,0.09208254831124835,0.08621532800134309,0.07140968877512417,0.09568723518548661,0.15008539441134397,0.09244203836415542
sqH,0.04086917037237628,0.09849891012163703,0.10480494735007109,0.10929020163015564,0.12836287678537123,0.10833672761060871,0.0984987915406066,0.08411760561417446,0.11096469423054671,0.11055404750280902,0.09064395938884161
chisq,0.007322155371588741,0.2203624667679873,0.07915468322087642,0.12311771494258977,0.10345205131541269,0.08444646417328158,0.07546694319095851,0.06353044588484485,0.08886736189865141,0.10445310625486694,0.07837833002719535
robbins,0.14577522241834534,0.6336812936040801,0.0457067003057276,0.0776025418669379,0.03474611698473631,0.13936384949064048,0.1401378945038806,0.10922870531638236,0.10565887496176399,0.18972669826932206,0.1299436924403428
npmle,0.13347939207088566,0.14043824788340423,0.024891183566202763,0.06461669496674059,0.025156904325763497,0.1361421791886557,0.08099983602087182,0.03887987169133095,0.10183759046631266,0.12387293755947873,0.1156164764037252
sqH,0.0778206704060328,0.16116816056229874,0.03344836646623995,0.0783550666036377,0.0333733757246842,0.14584902325737667,0.0816556008344067,0.044456086789567105,0.10504344422971863,0.11118361130116004,0.11571418837589123
chisq,0.08416990110265882,0.11755596412014109,0.021496760523371794,0.05831827007380057,0.019997195083056366,0.1321294109167855,0.06429044772389919,0.03143315656579603,0.10188957753614705,0.09437598703508017,0.10704394929244662
robbins,0.15177192843952125,0.19464918458885144,0.9358645005565398,0.1166470039956147,0.17418574287510688,0.13772378051857714,0.22166767417068015,0.08463000514602448,0.12812390466264853,0.07920530285405063,0.10461779254058684
npmle,0.12693697967307396,0.1581194351081149,0.16685034090029874,0.08952187536613287,0.08963185865468441,0.09878694790767213,0.09972820628160975,0.09084027779552212,0.14633107349757943,0.07388843898513552,0.08451933535314012
sqH,0.12334874237236695,0.1414471109015191,0.1367072976399164,0.0720672173671395,0.09447152285293396,0.1008997496538914,0.10786461896557614,0.10333772624913481,0.042541999101856846,0.08549652972369477,0.09813327268598582
chisq,0.13868239308739969,0.15544177971598216,0.09542017391284435,0.06843210425706267,0.07797421748628305,0.08650838871439034,0.08381771820405336,0.08344793512133047,0.03584958215949972,0.04838513785822763,0.06392330317010979
robbins,0.21558225389539476,0.23801438872008365,0.12404087252229617,0.09310483810375192,0.1800083081713635,0.21110683338209,0.08280756844625793,0.09434596715984302,0.1329763119561356,0.07737087984709921,0.08837933039037213
npmle,0.023635404178477384,0.12145898434039772,0.10709412241985193,0.08817311865746526,0.1215504608450938,0.14988197611220305,0.0632704811705709,0.0867568632528696,0.11684807839038573,0.07231698302727284,0.09025599014492106
sqH,0.0549627891389724,0.1446643614114903,0.05519731188751766,0.08801917334942394,0.1404336846079201,0.12924309287634528,0.07794115849774295,0.09441578700068409,0.09535663225432885,0.07255012862218006,0.0653094525048786
chisq,0.018456771127722874,0.10531394476110192,0.11798804721684066,0.0823815744556078,0.10684679425349347,0.1315998472989196,0.056751007245803266,0.1007719888851455,0.0976124267226312,0.06874956900772738,0.10743258498395096
robbins,0.5868408074815291,0.15616534470694954,0.21359378993218364,0.39199790851658445,0.18143899673480832,0.04749509345765785,0.2736175446884674,0.10369869399321655,0.14385148109918044,0.11560148537652996,0.12068622022137913
npmle,0.029028971915987016,0.13831638667316395,0.15959044506088593,0.09333526210358341,0.14359714466466883,0.022106059936138393,0.16859220834859595,0.09540937782124027,0.13746504677710816,0.10907785706569335,0.12281927074479441
sqH,0.016007820513503784,0.12012438185794612,0.14719110704977975,0.11090028914193194,0.1018152977760464,0.029719569025902247,0.0770529726569919,0.10741808200872723,0.12560102228027353,0.10370675103364084,0.13154257672000294
chisq,0.04516350028047121,0.1335451343675434,0.1492714825098081,0.0676021816661535,0.11019644848883094,0.018557509482681433,0.12882196347373287,0.10815917145059072,0.13211230944698035,0.11002521528411152,0.12593091323691244
robbins,0.08110868733675689,0.2578105827097333,0.5070427249871264,0.17236999574351156,0.056405156144125425,0.09914426732428148,0.21359378993218364,0.14809572375121016,0.06089535161395891,0.061224833303143086,0.11621041828614131
npmle,0.05602674328351668,0.10211469859771768,0.13983918485174823,0.14403198435170358,0.040977028929785955,0.08787506853809687,0.15959045106472858,0.09385493045656186,0.0601030623898343,0.05277604835369919,0.10086855044015341
sqH,0.06644214434540795,0.11172731846321869,0.13052560438627808,0.12355846126553663,0.05304087531525877,0.08523406137308606,0.14719110701570093,0.09416907483755604,0.07253337876139604,0.050912633978961605,0.10253845638242129
chisq,0.03233945645979125,0.08763019024319309,0.09664505205096433,0.135783574263292,0.035134270183863364,0.045963291526474055,0.14927148348416938,0.07570167070250655,0.05330584059695396,0.046325361612266976,0.0965692077786922
robbins,0.1183555449990551,0.1903267410310872,0.09237732305769907,0.1491799822542481,0.12041356034819119,0.1030648828576066,0.07061625663926709,0.1033202853561664,0.31273439436169803,0.06039060932466366,0.06559510938546104
npmle,0.09462459955216598,0.14709996457838637,0.0990608211318855,0.13905454071231405,0.04616138154287384,0.09725751151917848,0.05017792025949408,0.09331778438148897,0.13750489857023915,0.03294326202763064,0.06763339625416272
sqH,0.09969250145608546,0.12324107129672711,0.11639270893338584,0.16002942816434826,0.04763261478938128,0.10449999038946077,0.054025468604208815,0.1089271462806711,0.06866120588788752,0.04506363036031494,0.07974836380224141
chisq,0.05522831786183234,0.134039239928172,0.09012023695236106,0.13021824464743528,0.03449015383631414,0.10866737708320867,0.04743886359703236,0.08621492450230352,0.15785235728997624,0.027561652120424534,0.06094994830901887
robbins,0.2528113443279508,0.13619831438978078,0.1401626378316768,0.13961093949126283,0.08965441277842025,0.18064864928273103,0.13839240161483538,0.12110200654099655,0.055286400571258935,0.17139977347650995,0.11418162846874821
npmle,0.005979497454144753,0.07664787390752856,0.10343564325678786,0.1193704336276293,0.050155882996078316,0.14285314424710757,0.1297042767260517,0.09637648757961385,0.05227304001231589,0.12305786273873787,0.11030482756233975
sqH,0.0136969036136601,0.07388131204613968,0.09025771975106885,0.12232452193415756,0.06020679249641043,0.1284489376040198,0.10312882974100472,0.09619156208822631,0.0648917287465051,0.12462579669148939,0.1110058435755366
chisq,0.016904892640231234,0.03481856412094026,0.08329588134625503,0.11269246162337287,0.04076847817512116,0.1264691338066585,0.10622267470289046,0.08426577635313176,0.03496113064463503,0.10392389645241588,0.11634483317270455
robbins,0.20071818812989295,0.450531869722201,0.07421117194244294,0.13632121088474414,0.11934335912918517,0.12495752105754722,0.20492179508966932,0.21748381995286967,0.1593879656936748,0.10715564217767425,0.03255469306839665
npmle,0.15087303826726892,0.06685144334371541,0.051709813376097806,0.13035403483355182,0.0782580508379005,0.12033154645132263,0.09161638581536709,0.10484852562259069,0.21384523960377663,0.06232203723587487,0.029405809053967485
sqH,0.1283006250602186,0.046023679737214565,0.06431997314249854,0.11028053298819958,0.07990967865653012,0.07245401312953305,0.10929605195290908,0.11165093012091051,0.18875197662446686,0.06457005126160717,0.030950124696499687
chisq,0.1393605369861952,0.018170699744578016,0.04475851293982373,0.11316476859386075,0.06714520746154681,0.07865804300923336,0.07554057832993193,0.09400000367625094,0.2118754270106922,0.05369370474629213,0.02838965804770803
robbins,0.1744871397767289,0.3100164924984417,0.23882500241612373,0.7112342153638516,0.17427504445211753,0.1290540355655558,0.16530529013230957,0.2510128355727298,0.07339753952904857,0.10378422552450753,0.10824275515486108
npmle,0.146137877649682,0.01763141583378986,0.08625967106296235,0.13856031486962722,0.12325330971968934,0.07134694530096908,0.05384897448626627,0.200603269121489,0.0797044676838083,0.08524816274517029,0.09695785325207278
sqH,0.08980294152415284,0.01634952199711939,0.09874668475022946,0.1765504298981686,0.12001661535623072,0.08082952271057744,0.058291794796949556,0.10712813513739612,0.09290721415233746,0.08808156361816469,0.11231634525534515
chisq,0.09713358143272088,0.03197141026175721,0.06384650232589349,0.11617854438319832,0.1054810531416391,0.05608899049918818,0.04333321441117302,0.1864997175788368,0.07215647848923999,0.053372775186459324,0.08910274278811268
robbins,0.049696816253989556,0.10163170020506666,0.13936941107070278,0.10010610146827714,0.04810671967662709,0.13512399169706912,0.17002184429820835,0.1123192956251523,0.07448901766860319,0.1393502588040419,0.07720358105758027
npmle,0.02852779248233829,0.09968607345662943,0.1124870085015682,0.07612217982943384,0.05075065251729124,0.06481596055954236,0.11856404398765996,0.12239370633822161,0.06208543996616264,0.12510342039794728,0.07275438186913424
sqH,0.03955046554515178,0.11642060952179456,0.11555469062225507,0.0865943408505945,0.060702962886963904,0.07258712553247534,0.12486097641542697,0.08028084653126165,0.05738453804775889,0.09016225931925728,0.0857743759512725
chisq,0.016384613976308623,0.09259175485174027,0.1306578273070652,0.07827661621493862,0.04069968243331792,0.05682700009455268,0.10185130119105139,0.04481154845377612,0.06434661269023081,0.09842218526773784,0.07780104703630569
robbins,0.08110868733675687,0.3169674297937262,0.17540410841445336,0.2021528114398408,0.15852161322428307,0.1255210632299939,0.21604207765569985,0.15351974016058875,0.14235765600205708,0.08619835736007404,0.1055449651561998
npmle,0.05602704938455865,0.15931344651918045,0.2524742766935397,0.12692095320347122,0.14094043025811928,0.05334830178548381,0.14059093629884123,0.0701105466891977,0.13069196249813714,0.06954072483135894,0.10137641796348122
sqH,0.06644217885453149,0.13594468044217786,0.08217425441587936,0.08422582907912832,0.12134153461705006,0.05575669233774136,0.09258919897447669,0.043207245500322386,0.1308887485421428,0.08194611264882505,0.10598941310570317
chisq,0.03233945646361638,0.13847714484851967,0.24860375495317552,0.05718945638462656,0.12417530563623468,0.04765107510154396,0.1711795547964835,0.09556276068478532,0.11790779679006758,0.06172827247921865,0.10818350402375539
